__time,/fmu/in/actuator_motors/control[0],/fmu/in/actuator_motors/control[10],/fmu/in/actuator_motors/control[11],/fmu/in/actuator_motors/control[1],/fmu/in/actuator_motors/control[2],/fmu/in/actuator_motors/control[3],/fmu/in/actuator_motors/control[4],/fmu/in/actuator_motors/control[5],/fmu/in/actuator_motors/control[6],/fmu/in/actuator_motors/control[7],/fmu/in/actuator_motors/control[8],/fmu/in/actuator_motors/control[9],/fmu/in/actuator_motors/reversible_flags,/fmu/in/actuator_motors/timestamp,/fmu/in/actuator_motors/timestamp_sample,/fmu/in/actuator_servos/control[0],/fmu/in/actuator_servos/control[1],/fmu/in/actuator_servos/control[2],/fmu/in/actuator_servos/control[3],/fmu/in/actuator_servos/control[4],/fmu/in/actuator_servos/control[5],/fmu/in/actuator_servos/control[6],/fmu/in/actuator_servos/control[7],/fmu/in/actuator_servos/timestamp,/fmu/in/actuator_servos/timestamp_sample,/fmu/out/vehicle_attitude/delta_q_reset[0],/fmu/out/vehicle_attitude/delta_q_reset[1],/fmu/out/vehicle_attitude/delta_q_reset[2],/fmu/out/vehicle_attitude/delta_q_reset[3],/fmu/out/vehicle_attitude/q[0],/fmu/out/vehicle_attitude/q[1],/fmu/out/vehicle_attitude/q[2],/fmu/out/vehicle_attitude/q[3],/fmu/out/vehicle_attitude/quat_reset_counter,/fmu/out/vehicle_attitude/timestamp,/fmu/out/vehicle_attitude/timestamp_sample
1745491932.655444,0.003995735,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932655320.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.655481,,,,,,,,,,,,,,,,0.040553618,-0.052840032,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932655185.000000000,0.000000000,,,,,,,,,,,
1745491932.664054,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990381479,0.045150630,-0.026295867,0.128119126,10.000000000,1745491932662695.000000000,1745491932662515.000000000
1745491932.664310,,,,,,,,,,,,,,,,0.040551573,-0.052812614,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932664134.000000000,0.000000000,,,,,,,,,,,
1745491932.664361,0.004493928,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932664264.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.673930,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990381956,0.045172039,-0.026286593,0.128109828,10.000000000,1745491932672706.000000000,1745491932672518.000000000
1745491932.674022,0.004991671,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932673962.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.674042,,,,,,,,,,,,,,,,0.040542837,-0.052841578,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932673914.000000000,0.000000000,,,,,,,,,,,
1745491932.684202,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990383863,0.045123536,-0.026307466,0.128107741,10.000000000,1745491932682696.000000000,1745491932682520.000000000
1745491932.684434,,,,,,,,,,,,,,,,0.040561222,-0.052776929,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932684238.000000000,0.000000000,,,,,,,,,,,
1745491932.684459,0.005488915,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932684367.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.694424,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990385830,0.045104913,-0.026304340,0.128099814,10.000000000,1745491932692696.000000000,1745491932692523.000000000
1745491932.694783,0.005985611,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932694585.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.694850,,,,,,,,,,,,,,,,0.040553842,-0.052754167,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932694466.000000000,0.000000000,,,,,,,,,,,
1745491932.704272,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990387321,0.045071241,-0.026301179,0.128101170,10.000000000,1745491932702709.000000000,1745491932702525.000000000
1745491932.704539,0.006481707,0.000000000,0.000000000,,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932704460.000000000,0.000000000,,,,,,,,,,,,,,,,,,,,,
1745491932.704554,,,,,,,,,,,,,,,,0.040544473,-0.052711990,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932704326.000000000,0.000000000,,,,,,,,,,,
1745491932.714022,,,,,,,,,,,,,,,,,,,,,,,,,,0.992614746,-0.000000006,-0.000000002,0.121309713,0.990385115,0.045103025,-0.026301904,0.128106460,10.000000000,1745491932712764.000000000,1745491932712528.000000000
1745491932.714240,,,,,,,,,,,,,,,,0.040550813,-0.052751902,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,1745491932714071.000000000,0.000000000,,,,,,,,,,,
